Site,Label,concepticonReference,Concepticon_Gloss
413,leg_foot-63,2098,FOOT OR LEG
414,leg_foot-64,2098,FOOT OR LEG
415,leg_foot-65,2098,FOOT OR LEG
416,leg_foot-66,2098,FOOT OR LEG
417,leg_foot-67,2098,FOOT OR LEG
418,leg_foot-68,2098,FOOT OR LEG
419,leg_foot-69,2098,FOOT OR LEG
420,leg_foot-70,2098,FOOT OR LEG
421,leg_foot-71,2098,FOOT OR LEG
422,leg_foot-72,2098,FOOT OR LEG
423,leg_foot-73,2098,FOOT OR LEG
424,leg_foot-74,2098,FOOT OR LEG
425,leg_foot-75,2098,FOOT OR LEG
426,leg_foot-76,2098,FOOT OR LEG
427,leg_foot-77,2098,FOOT OR LEG
428,leg_foot-78,2098,FOOT OR LEG
429,leg_foot-79,2098,FOOT OR LEG
430,leg_foot-80,2098,FOOT OR LEG
431,leg_foot-81,2098,FOOT OR LEG
432,leg_foot-82,2098,FOOT OR LEG
433,leg_foot-83,2098,FOOT OR LEG
434,leg_foot-84,2098,FOOT OR LEG
435,leg_foot-85,2098,FOOT OR LEG
436,leg_foot-86,2098,FOOT OR LEG
437,leg_foot-87,2098,FOOT OR LEG
438,leg_foot-88,2098,FOOT OR LEG
439,leg_foot-89,2098,FOOT OR LEG
440,leg_foot-90,2098,FOOT OR LEG
441,leg_foot-91,2098,FOOT OR LEG
442,leg_foot-92,2098,FOOT OR LEG
443,leg_foot-93,2098,FOOT OR LEG
444,leg_foot-94,2098,FOOT OR LEG
445,leg_foot-95,2098,FOOT OR LEG
446,leg_foot-96,2098,FOOT OR LEG
447,leg_foot-97,2098,FOOT OR LEG
448,leg_foot-98,2098,FOOT OR LEG
449,leg_foot-99,2098,FOOT OR LEG
450,leg_foot-100,2098,FOOT OR LEG
451,leg_foot-101,2098,FOOT OR LEG
452,leg_foot-102,2098,FOOT OR LEG
453,leg_foot-103,2098,FOOT OR LEG
454,leg_foot-104,2098,FOOT OR LEG
455,leg_foot-105,2098,FOOT OR LEG
456,leg_foot-106,2098,FOOT OR LEG
457,leg_foot-107,2098,FOOT OR LEG
458,leg_foot-108,2098,FOOT OR LEG
459,leg_foot-109,2098,FOOT OR LEG
460,leg_foot-110,2098,FOOT OR LEG
461,leg_foot-111,2098,FOOT OR LEG
462,leg_foot-112,2098,FOOT OR LEG
463,leg_foot-113,2098,FOOT OR LEG
464,leg_foot-114,2098,FOOT OR LEG
465,leg_foot-115,2098,FOOT OR LEG
466,leg_foot-116,2098,FOOT OR LEG
467,leg_foot-117,2098,FOOT OR LEG
468,leg_foot-118,2098,FOOT OR LEG
469,leg_foot-119,2098,FOOT OR LEG
470,leg_foot-120,2098,FOOT OR LEG
471,leg_foot-121,2098,FOOT OR LEG
472,leg_foot-122,2098,FOOT OR LEG
473,leg_foot-123,2098,FOOT OR LEG
474,leg_foot-124,2098,FOOT OR LEG
475,leg_foot-125,2098,FOOT OR LEG
476,leg_foot-126,2098,FOOT OR LEG
477,leg_foot-127,2098,FOOT OR LEG
478,leg_foot-128,2098,FOOT OR LEG
479,leg_foot-129,2098,FOOT OR LEG
480,leg_foot-130,2098,FOOT OR LEG
481,leg_foot-131,2098,FOOT OR LEG
482,leg_foot-132,2098,FOOT OR LEG
483,leg_foot-133,2098,FOOT OR LEG
484,leg_foot-134,2098,FOOT OR LEG
485,leg_foot-135,2098,FOOT OR LEG
486,leg_foot-136,2098,FOOT OR LEG
487,leg_foot-137,2098,FOOT OR LEG
488,leg_foot-138,2098,FOOT OR LEG
489,leg_foot-139,2098,FOOT OR LEG
490,leg_foot-140,2098,FOOT OR LEG
491,leg_foot-141,2098,FOOT OR LEG
492,leg_foot-142,2098,FOOT OR LEG
493,leg_foot-143,2098,FOOT OR LEG
494,leg_foot-144,2098,FOOT OR LEG
495,leg_foot-145,2098,FOOT OR LEG
496,leg_foot-146,2098,FOOT OR LEG
497,leg_foot-147,2098,FOOT OR LEG
498,leg_foot-148,2098,FOOT OR LEG
499,leg_foot-149,2098,FOOT OR LEG
500,leg_foot-150,2098,FOOT OR LEG
501,leg_foot-151,2098,FOOT OR LEG
502,leg_foot-152,2098,FOOT OR LEG
503,leg_foot-153,2098,FOOT OR LEG
504,leg_foot-154,2098,FOOT OR LEG
505,leg_foot-155,2098,FOOT OR LEG
506,leg_foot-156,2098,FOOT OR LEG
507,leg_foot-157,2098,FOOT OR LEG
508,leg_foot-158,2098,FOOT OR LEG
509,leg_foot-159,2098,FOOT OR LEG
510,leg_foot-160,2098,FOOT OR LEG
511,leg_foot-161,2098,FOOT OR LEG
512,leg_foot-162,2098,FOOT OR LEG
513,leg_foot-163,2098,FOOT OR LEG
514,leg_foot-164,2098,FOOT OR LEG
515,leg_foot-165,2098,FOOT OR LEG
516,leg_foot-166,2098,FOOT OR LEG
517,leg_foot-167,2098,FOOT OR LEG
518,leg_foot-168,2098,FOOT OR LEG
519,leg_foot-169,2098,FOOT OR LEG
520,leg_foot-170,2098,FOOT OR LEG
521,leg_foot-171,2098,FOOT OR LEG
522,leg_foot-172,2098,FOOT OR LEG
523,leg_foot-173,2098,FOOT OR LEG
524,leg_foot-174,2098,FOOT OR LEG
525,leg_foot-175,2098,FOOT OR LEG
526,leg_foot-176,2098,FOOT OR LEG
527,leg_foot-177,2098,FOOT OR LEG
528,leg_foot-178,2098,FOOT OR LEG
529,leg_foot-179,2098,FOOT OR LEG
530,leg_foot-180,2098,FOOT OR LEG
531,leg_foot-181,2098,FOOT OR LEG
532,leg_foot-182,2098,FOOT OR LEG
533,to_walk-1,1443,WALK
534,to_walk-2,1443,WALK
535,to_walk-3,1443,WALK
536,to_walk-4,1443,WALK
537,to_walk-5,1443,WALK
538,to_walk-6,1443,WALK
539,to_walk-7,1443,WALK
540,to_walk-8,1443,WALK
541,to_walk-9,1443,WALK
542,to_walk-10,1443,WALK
543,to_walk-11,1443,WALK
544,to_walk-12,1443,WALK
545,to_walk-13,1443,WALK
546,to_walk-14,1443,WALK
547,to_walk-15,1443,WALK
548,to_walk-16,1443,WALK
549,to_walk-17,1443,WALK
550,to_walk-18,1443,WALK
551,to_walk-19,1443,WALK
552,to_walk-20,1443,WALK
553,to_walk-21,1443,WALK
554,to_walk-22,1443,WALK
555,to_walk-23,1443,WALK
556,to_walk-24,1443,WALK
557,to_walk-25,1443,WALK
558,to_walk-26,1443,WALK
559,to_walk-27,1443,WALK
560,to_walk-28,1443,WALK
561,to_walk-29,1443,WALK
562,to_walk-30,1443,WALK
563,to_walk-31,1443,WALK
564,to_walk-32,1443,WALK
565,to_walk-33,1443,WALK
566,to_walk-34,1443,WALK
567,to_walk-35,1443,WALK
568,to_walk-36,1443,WALK
569,to_walk-37,1443,WALK
570,to_walk-38,1443,WALK
571,to_walk-39,1443,WALK
572,to_walk-40,1443,WALK
573,to_walk-41,1443,WALK
574,to_walk-42,1443,WALK
575,to_walk-43,1443,WALK
576,to_walk-44,1443,WALK
577,to_walk-45,1443,WALK
578,to_walk-46,1443,WALK
579,to_walk-47,1443,WALK
580,to_walk-48,1443,WALK
581,to_walk-49,1443,WALK
582,to_walk-50,1443,WALK
583,to_walk-51,1443,WALK
584,to_walk-52,1443,WALK
585,to_walk-53,1443,WALK
586,to_walk-54,1443,WALK
587,to_walk-55,1443,WALK
588,to_walk-56,1443,WALK
589,to_walk-57,1443,WALK
590,to_walk-58,1443,WALK
591,to_walk-59,1443,WALK
592,to_walk-60,1443,WALK
593,to_walk-61,1443,WALK
594,to_walk-62,1443,WALK
595,to_walk-63,1443,WALK
596,to_walk-64,1443,WALK
597,to_walk-65,1443,WALK
598,to_walk-66,1443,WALK
599,to_walk-67,1443,WALK
600,to_walk-68,1443,WALK
601,to_walk-69,1443,WALK
602,to_walk-70,1443,WALK
603,to_walk-71,1443,WALK
604,to_walk-72,1443,WALK
605,to_walk-73,1443,WALK
606,to_walk-74,1443,WALK
607,to_walk-75,1443,WALK
608,to_walk-76,1443,WALK
609,to_walk-77,1443,WALK
610,to_walk-78,1443,WALK
611,to_walk-79,1443,WALK
612,to_walk-80,1443,WALK
613,to_walk-81,1443,WALK
614,to_walk-82,1443,WALK
615,to_walk-83,1443,WALK
616,to_walk-84,1443,WALK
617,to_walk-85,1443,WALK
618,to_walk-86,1443,WALK
619,to_walk-87,1443,WALK
620,to_walk-88,1443,WALK
621,to_walk-89,1443,WALK
622,to_walk-90,1443,WALK
623,to_walk-91,1443,WALK
624,to_walk-92,1443,WALK
625,to_walk-93,1443,WALK
626,to_walk-94,1443,WALK
627,to_walk-95,1443,WALK
628,to_walk-96,1443,WALK
629,to_walk-97,1443,WALK
630,to_walk-98,1443,WALK
631,to_walk-99,1443,WALK
632,to_walk-100,1443,WALK
633,to_walk-101,1443,WALK
634,to_walk-102,1443,WALK
635,to_walk-103,1443,WALK
636,to_walk-104,1443,WALK
637,to_walk-105,1443,WALK
638,to_walk-106,1443,WALK
639,to_walk-107,1443,WALK
640,to_walk-108,1443,WALK
641,to_walk-109,1443,WALK
642,to_walk-110,1443,WALK
643,to_walk-111,1443,WALK
644,to_walk-112,1443,WALK
645,to_walk-113,1443,WALK
646,to_walk-114,1443,WALK
647,to_walk-115,1443,WALK
648,to_walk-116,1443,WALK
649,to_walk-117,1443,WALK
650,to_walk-118,1443,WALK
651,to_walk-119,1443,WALK
652,to_walk-120,1443,WALK
653,to_walk-121,1443,WALK
654,to_walk-122,1443,WALK
655,to_walk-123,1443,WALK
656,to_walk-124,1443,WALK
657,to_walk-125,1443,WALK
658,to_walk-126,1443,WALK
659,to_walk-127,1443,WALK
660,to_walk-128,1443,WALK
661,to_walk-129,1443,WALK
662,to_walk-130,1443,WALK
663,to_walk-131,1443,WALK
664,to_walk-132,1443,WALK
665,to_walk-133,1443,WALK
666,to_walk-134,1443,WALK
667,to_walk-135,1443,WALK
668,to_walk-136,1443,WALK
669,to_walk-137,1443,WALK
670,to_walk-138,1443,WALK
671,to_walk-139,1443,WALK
672,to_walk-140,1443,WALK
673,to_walk-141,1443,WALK
674,to_walk-142,1443,WALK
675,to_walk-143,1443,WALK
676,to_walk-144,1443,WALK
677,to_walk-145,1443,WALK
678,to_walk-146,1443,WALK
679,to_walk-147,1443,WALK
680,to_walk-148,1443,WALK
681,to_walk-149,1443,WALK
682,to_walk-150,1443,WALK
683,to_walk-151,1443,WALK
684,to_walk-152,1443,WALK
685,to_walk-153,1443,WALK
686,to_walk-154,1443,WALK
687,to_walk-155,1443,WALK
688,to_walk-156,1443,WALK
689,to_walk-157,1443,WALK
690,to_walk-158,1443,WALK
691,to_walk-159,1443,WALK
692,to_walk-160,1443,WALK
693,to_walk-161,1443,WALK
694,to_walk-162,1443,WALK
695,to_walk-163,1443,WALK
696,to_walk-164,1443,WALK
697,to_walk-165,1443,WALK
698,to_walk-166,1443,WALK
699,to_walk-167,1443,WALK
700,to_walk-168,1443,WALK
