ID,Name,Nexus_File,rooted,type,method,scaling,Source
posterior-396,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-397,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-398,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-399,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-400,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-401,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-402,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-403,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-404,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-405,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-406,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-407,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-408,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-409,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-410,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-411,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-412,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-413,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-414,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-415,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-416,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-417,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-418,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-419,,posterior.trees,true,sample,bayesian,millennia,gray2009
posterior-420,,posterior.trees,true,sample,bayesian,millennia,gray2009
