ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
Mouk,Mouk,,-5.71155,149.158,mouk1239,
MunaKatobuTongkuno_D,MunaKatobuTongkuno_D,,-5.40419,122.541,muna1247,
MurnatenAlune,MurnatenAlune,,-3.11477,128.394,alun1238,
Mussau,Mussau,,-1.44105,149.624,muss1246,
Mwotlap,Mwotlap,,-13.655015,167.706277,motl1237,
Nahavaq,Nahavaq,,-16.5116,167.477,sout2857,
NakanaiBileki_D,NakanaiBileki_D,,-5.59931,150.888,naka1262,
Nalik,Nalik,,-2.94411,151.332,nali1244,
Namakir,Namakir,,-16.8979,168.569,nama1268,
Naman,Naman,,-16.1331,167.415,litz1237,
Nanggu,Nanggu,,-10.7441,165.887,nang1262,
Nati,Nati,,-16.468709,167.496054,nati1244,
Nauna,Nauna,,-2.21213,148.201,naun1237,
NehanHape,NehanHape,,-4.56875,154.2,neha1247,
Nelemwa,Nelemwa,,-20.4035,164.193,kuma1276,
Nembao,Nembao,,-11.2958,166.498,amba1266,
Nengone,Nengone,,-21.5305,167.964,neng1238,
Nese,Nese,,-15.952608,167.222769,nese1235,
Neveei,Neveei,,-16.2253,167.427,vinm1237,
Ngadha,Ngadha,,-8.79508,120.976,ngad1261,
NgaiborSAru,NgaiborSAru,,-6.62046,134.168,west2538,
Nggela,Nggela,,-9.04587,160.186,gela1263,
Nguna,Nguna,,-17.5774,168.375,nort2836,
Nias,Nias,,0.90691,97.4961,nias1242,
Nila,Nila,,-6.734956,129.512131,nila1244,
Nissan,Nissan,,-4.56875,154.2,neha1247,
Niue,Niue,,-19.06,-169.86,niue1239,
NorthBabar,NorthBabar,,-7.84311,129.743,nort2860,
Nukuoro,Nukuoro,,3.84,154.975,nuku1260,
NumbamiSiboma,NumbamiSiboma,,-7.52806,147.298,numb1247,
Numfor,Numfor,,-0.9523,135.879,biak1248,
Ogan,Ogan,,-3.79673,103.137,cent2053,
OldChinese,OldChinese,,36.12,114.32,oldc1244,
OldJavanese,OldJavanese,,-7.001,109.287,java1254,
Orkon,Orkon,,-16.210501,168.212109,orko1234,
PaameseSouth,PaameseSouth,,-16.47548,168.23693,paam1238,
Paiwan,Paiwan,,22.3271,120.806,paiw1248,
Palauan,Palauan,,7.34138,134.476678,pala1344,
PalawanBatak,PalawanBatak,,10.1115,119.025,bata1301,
Pangasinan,Pangasinan,,15.9377,120.365,pang1290,
Patpatar,Patpatar,,-3.74711,152.493,patp1243,
Paulohi,Paulohi,,-3.25404,128.779,paul1238,
Pazeh,Pazeh,,23.7562,120.976,kulo1237,
Penrhyn,Penrhyn,,-9.082238,-157.922908,penr1237,
Perai,Perai,,-7.62349,126.576,pera1257,
PeteraraMaewo,PeteraraMaewo,,,,pete1237,
PhanRangChamEasternCham,PhanRangChamEasternCham,,11.2853,108.49,east2563,
Ponapean,Ponapean,,6.87212,158.223,pohn1238,
Pondok,Pondok,,-9.63425,119.605,anak1240,
Popalia,Popalia,,-5.7478,123.948,tuka1249,
PuloAnnan,PuloAnnan,,5.328596,132.221282,sons1242,
Puluwatese,Puluwatese,,7.35695,149.2005,pulu1242,
PunanKelai,PunanKelai,,1.97695,116.954,sega1243,
Puyuma,Puyuma,,22.643,120.996,puyu1239,
Raga,Raga,,-15.5432,168.167,hano1246,
RapanuiEasterIsland,RapanuiEasterIsland,,-27.113,-109.342,rapa1244,
Rarotongan,Rarotongan,,-21.23,-159.78,raro1241,
RejangRejang,RejangRejang,,-3.33056,102.434,reja1240,
Rennellese,Rennellese,,,,mung1271,
Ririo,Ririo,,-6.88927,156.92,riri1237,
RotiTermanu_D,RotiTermanu_D,,-10.7326,123.169,term1237,
Rotuman,Rotuman,,-12.5008,177.066,rotu1241,
Roviana,Roviana,,-8.20493,157.408,rovi1238,
Rukai,Rukai,,22.7738,120.844,ruka1240,
Rurutuan,Rurutuan,,,,ruru1237,
Saa,Saa,,-9.60258,161.467,saaa1240,
Saaroa,Saaroa,,23.2632,120.711,saar1237,
SaipanCarolinian,SaipanCarolinian,,15.205,145.765,caro1242,
Saisiat,Saisiat,,24.6043,121.067,sais1237,
SakaoPortOlry,SakaoPortOlry,,-15.0757,167.051,saka1289,
Saliba,Saliba,,-10.6148,150.727,sali1295,
SamalSiasi_D,SamalSiasi_D,,7.004574,118.455978,cent2092,
SambalBotolan,SambalBotolan,,15.2315,120.164,boto1242,
Samoan,Samoan,,-13.92,-171.83,samo1305,
SangilSaraganiIslands,SangilSaraganiIslands,,5.40229,125.378,sang1337,
Sangir,Sangir,,3.0,125.5,sang1336,
SangirTabukang_D,SangirTabukang_D,,3.0,125.5,sang1336,
SantaAna,SantaAna,,-10.82553,162.30467,owaa1237,
SaranganiBlaan,SaranganiBlaan,,6.03691,125.354,sara1326,
Sasak,Sasak,,-8.58349,116.284,sasa1249,
Satawalese,Satawalese,,7.36084,147.038,sata1237,
Savu,Savu,,-10.5522,121.847,sabu1255,
Sediq,Sediq,,23.9032,121.358,taro1264,
Seimat,Seimat,,-1.2666667,144.25,seim1238,
Sekar,Sekar,,-2.65849,132.469,seka1247,
Selaru,Selaru,,-8.18376,130.961,sela1259,
Sengseng,Sengseng,,-6.16474,149.784,seng1281,
Serili,Serili,,-8.11241,129.901,seri1255,
Serua,Serua,,-6.31107,130.017294,seru1245,
Siar,Siar,,-4.62059,152.892,siar1238,
Sika,Sika,,-8.67302,122.38,sika1262,
Sikaiana,Sikaiana,,-8.378194,162.72952,sika1261,
Simbo,Simbo,,-8.26947,156.541,simb1256,
Singhi,Singhi,,1.54467,109.985,baub1235,
Siraya,Siraya,,22.9777,120.315,sira1267,
Sisingga,Sisingga,,-7.22281,157.149,baba1268,
Soa,Soa,,-8.6778,121.04764,cent2074,
Soboyo,Soboyo,,-1.79516,124.869,tali1262,
SouthEastBabar,SouthEastBabar,,-7.94359,129.8,sout2883,
SouthEfate,SouthEfate,,-17.7006,168.377,sout2856,
SquliqAtayal,SquliqAtayal,,24.5209,121.388,atay1247,
Suau,Suau,,-10.6606,150.21,suau1242,
SubanonSiocon,SubanonSiocon,,7.79964,122.341,west2557,
SubanunSindangan,SubanunSindangan,,8.12701,123.018,cent2089,
Sunda,Sunda,,-6.89708,107.106,sund1252,
Surigaonon,Surigaonon,,9.0,126.0,suri1273,
SyeErromangan,SyeErromangan,,-18.8181,169.166,siee1239,
Tabar,Tabar,,-2.7828,151.956,mand1440,
TaeSToraja,TaeSToraja,,-2.97144,119.829,tora1261,
Tagalog,Tagalog,,14.06,121.747,taga1270,
TagbanwaAborlan_D,TagbanwaAborlan_D,,10.6519,119.338,cent2090,
TagbanwaKalamianCoronIsland_D,TagbanwaKalamianCoronIsland_D,,12.0716,120.094,cala1258,
TahitianModern,TahitianModern,,-17.6485,-149.45,tahi1242,
Taiof,Taiof,,-5.64103,154.732,sapo1253,
Takuu,Takuu,,-4.773094,157.032085,taku1257,
Talur,Talur,,-8.61074,125.959,galo1243,
Tanema,Tanema,,-11.68,166.97,tane1237,
Tanimbili,Tanimbili,,-11.2975,166.507,tani1255,
TannaSouthwest,TannaSouthwest,,-19.57953,169.35603,sout2869,
Tape,Tape,,-16.0695,167.33,mara1399,
TausugJolo_D,TausugJolo_D,,5.12236,118.88,taus1251,
TboliTagabili,TboliTagabili,,6.20377,124.538,tbol1240,
Teanu,Teanu,,-11.6752,166.868,tean1237,
TelaMasbuar,TelaMasbuar,,-8.01195,129.687,tela1241,
Teop,Teop,,-5.67474,154.971,teop1238,
Tetum,Tetum,,-8.58405,125.583,tetu1246,
Teun,Teun,,-6.97086,129.143718,teun1241,
Thao,Thao,,23.8333,120.93,thao1240,
Tiang,Tiang,,-2.95505,150.935,tian1237,
Tigak,Tigak,,-2.70951,150.893,tiga1245,
Tikopia,Tikopia,,-12.2766,168.822,tiko1237,
TimugonMurut,TimugonMurut,,5.1796,115.826,timu1262,
Toambaita,Toambaita,,-8.39233,160.619,toab1237,
TobaBatak,TobaBatak,,2.35498,99.1761,bata1289,
Tokelau,Tokelau,,-9.227642,-171.780833,toke1240,
Tolo,Tolo,,-9.76764,160.231,tali1259,
Tongan,Tongan,,-21.17,-175.25,tong1325,
Tontemboan,Tontemboan,,1.24813,124.654,tont1239,
Tsou,Tsou,,23.216,120.787,tsou1248,
Tuamotu,Tuamotu,,-16.17259,-146.321755,tuam1242,
Tugun,Tugun,,-7.72555,126.7,tugu1245,
TungagTungakLavongai,TungagTungakLavongai,,-2.52188,150.198,tung1290,
Tunjung,Tunjung,,-0.29048,115.883,tunj1244,
Tuvalu,Tuvalu,,-8.520813,179.198088,tuva1244,
Ubir,Ubir,,-9.59044,149.396,ubir1237,
UjirNAru,UjirNAru,,-5.69329,134.257,ujir1237,
Ura,Ura,,-18.6747,169.084,urav1235,
UveaEast,UveaEast,,-13.2903,-176.207,wall1257,
UveaWest,UveaWest,,-20.4145,166.589,west2516,
VaeakauTaumako,VaeakauTaumako,,-10.173335,166.247188,pile1238,
VaghuaChoiseul,VaghuaChoiseul,,-6.68712,156.542,vagh1249,
Vano,Vano,,-11.6107,166.7984,vano1237,
Varisi,Varisi,,-6.83443,156.655,vari1239,
Vitu,Vitu,,-4.69751,149.489,mudu1242,
WBukidnonManobo,WBukidnonManobo,,7.6682,124.825,west2555,
Wanukaka,Wanukaka,,-9.69834,119.468,wanu1241,
Waropen,Waropen,,-2.31142,136.633,waro1242,
Watubela,Watubela,,-4.47294,131.641,watu1247,
WejewaTanaRighu_D,WejewaTanaRighu_D,,-9.55099,119.349,weje1237,
Werinama,Werinama,,-3.43514,130.179,bobo1254,
WindesiWandamen,WindesiWandamen,,-2.25622,133.996,wand1267,
Wogeo,Wogeo,,-3.20238,144.089,woge1237,
Woleai,Woleai,,7.37957,143.916,wole1240,
Woleaian,Woleaian,,7.37957,143.916,wole1240,
Wolio,Wolio,,-5.33,122.67,woli1241,
Wuna,Wuna,,-5.40419,122.541,muna1247,
Wuvulu,Wuvulu,,-1.73938,142.851,wuvu1239,
Yakan,Yakan,,6.531023,122.021729,yaka1277,
Yamdena,Yamdena,,-7.73722,131.44,yamd1240,
Yami,Yami,,22.055,121.544,yami1254,
