ID,Name,Description,ColumnSpec,Nexus_File,Concepticon_ID,Concepticon_Gloss
320,right-86,,,data,1019,RIGHT
321,right-87,,,data,1019,RIGHT
322,right-88,,,data,1019,RIGHT
323,right-89,,,data,1019,RIGHT
324,right-90,,,data,1019,RIGHT
325,right-91,,,data,1019,RIGHT
326,right-92,,,data,1019,RIGHT
327,right-93,,,data,1019,RIGHT
328,right-94,,,data,1019,RIGHT
329,right-95,,,data,1019,RIGHT
330,right-96,,,data,1019,RIGHT
331,right-97,,,data,1019,RIGHT
332,right-98,,,data,1019,RIGHT
333,right-99,,,data,1019,RIGHT
334,right-100,,,data,1019,RIGHT
335,right-101,,,data,1019,RIGHT
336,right-102,,,data,1019,RIGHT
337,right-103,,,data,1019,RIGHT
338,right-104,,,data,1019,RIGHT
339,right-105,,,data,1019,RIGHT
340,right-106,,,data,1019,RIGHT
341,right-107,,,data,1019,RIGHT
342,right-108,,,data,1019,RIGHT
343,right-109,,,data,1019,RIGHT
344,right-110,,,data,1019,RIGHT
345,right-111,,,data,1019,RIGHT
346,right-112,,,data,1019,RIGHT
347,right-113,,,data,1019,RIGHT
348,right-114,,,data,1019,RIGHT
349,right-115,,,data,1019,RIGHT
350,right-116,,,data,1019,RIGHT
351,leg_foot-1,,,data,2098,FOOT OR LEG
352,leg_foot-2,,,data,2098,FOOT OR LEG
353,leg_foot-3,,,data,2098,FOOT OR LEG
354,leg_foot-4,,,data,2098,FOOT OR LEG
355,leg_foot-5,,,data,2098,FOOT OR LEG
356,leg_foot-6,,,data,2098,FOOT OR LEG
357,leg_foot-7,,,data,2098,FOOT OR LEG
358,leg_foot-8,,,data,2098,FOOT OR LEG
359,leg_foot-9,,,data,2098,FOOT OR LEG
360,leg_foot-10,,,data,2098,FOOT OR LEG
361,leg_foot-11,,,data,2098,FOOT OR LEG
362,leg_foot-12,,,data,2098,FOOT OR LEG
363,leg_foot-13,,,data,2098,FOOT OR LEG
364,leg_foot-14,,,data,2098,FOOT OR LEG
365,leg_foot-15,,,data,2098,FOOT OR LEG
366,leg_foot-16,,,data,2098,FOOT OR LEG
367,leg_foot-17,,,data,2098,FOOT OR LEG
368,leg_foot-18,,,data,2098,FOOT OR LEG
369,leg_foot-19,,,data,2098,FOOT OR LEG
370,leg_foot-20,,,data,2098,FOOT OR LEG
371,leg_foot-21,,,data,2098,FOOT OR LEG
372,leg_foot-22,,,data,2098,FOOT OR LEG
373,leg_foot-23,,,data,2098,FOOT OR LEG
374,leg_foot-24,,,data,2098,FOOT OR LEG
375,leg_foot-25,,,data,2098,FOOT OR LEG
376,leg_foot-26,,,data,2098,FOOT OR LEG
377,leg_foot-27,,,data,2098,FOOT OR LEG
378,leg_foot-28,,,data,2098,FOOT OR LEG
379,leg_foot-29,,,data,2098,FOOT OR LEG
380,leg_foot-30,,,data,2098,FOOT OR LEG
381,leg_foot-31,,,data,2098,FOOT OR LEG
382,leg_foot-32,,,data,2098,FOOT OR LEG
383,leg_foot-33,,,data,2098,FOOT OR LEG
384,leg_foot-34,,,data,2098,FOOT OR LEG
385,leg_foot-35,,,data,2098,FOOT OR LEG
386,leg_foot-36,,,data,2098,FOOT OR LEG
387,leg_foot-37,,,data,2098,FOOT OR LEG
388,leg_foot-38,,,data,2098,FOOT OR LEG
389,leg_foot-39,,,data,2098,FOOT OR LEG
390,leg_foot-40,,,data,2098,FOOT OR LEG
391,leg_foot-41,,,data,2098,FOOT OR LEG
392,leg_foot-42,,,data,2098,FOOT OR LEG
393,leg_foot-43,,,data,2098,FOOT OR LEG
394,leg_foot-44,,,data,2098,FOOT OR LEG
395,leg_foot-45,,,data,2098,FOOT OR LEG
396,leg_foot-46,,,data,2098,FOOT OR LEG
397,leg_foot-47,,,data,2098,FOOT OR LEG
398,leg_foot-48,,,data,2098,FOOT OR LEG
399,leg_foot-49,,,data,2098,FOOT OR LEG
400,leg_foot-50,,,data,2098,FOOT OR LEG
401,leg_foot-51,,,data,2098,FOOT OR LEG
402,leg_foot-52,,,data,2098,FOOT OR LEG
403,leg_foot-53,,,data,2098,FOOT OR LEG
404,leg_foot-54,,,data,2098,FOOT OR LEG
405,leg_foot-55,,,data,2098,FOOT OR LEG
406,leg_foot-56,,,data,2098,FOOT OR LEG
407,leg_foot-57,,,data,2098,FOOT OR LEG
408,leg_foot-58,,,data,2098,FOOT OR LEG
409,leg_foot-59,,,data,2098,FOOT OR LEG
410,leg_foot-60,,,data,2098,FOOT OR LEG
411,leg_foot-61,,,data,2098,FOOT OR LEG
412,leg_foot-62,,,data,2098,FOOT OR LEG
413,leg_foot-63,,,data,2098,FOOT OR LEG
414,leg_foot-64,,,data,2098,FOOT OR LEG
415,leg_foot-65,,,data,2098,FOOT OR LEG
416,leg_foot-66,,,data,2098,FOOT OR LEG
417,leg_foot-67,,,data,2098,FOOT OR LEG
418,leg_foot-68,,,data,2098,FOOT OR LEG
419,leg_foot-69,,,data,2098,FOOT OR LEG
